Date,Open,High,Low,Close,Volume
2015-08-25,210.06799316,226.32099915,199.56700134,221.60899353,61089200
2015-08-26,222.07600403,231.18299866,220.20399475,225.83099365,31808000
2015-08-27,226.05000305,228.64300537,223.68400574,224.76899719,21905400
2015-08-28,224.70100403,235.21899414,220.92599487,231.39599609,31336600
2015-08-29,231.54899597,233.22200012,227.33000183,229.77999878,17142500
2015-08-30,229.89500427,232.06799316,226.24699402,228.76100159,19412600
2015-08-31,229.11399841,231.95599365,225.91499329,230.05599976,20710700
2015-09-01,230.25599670,231.21600342,226.86000061,228.12100220,20575200
2015-09-02,228.02699280,230.57699585,226.47500610,229.28399658,18760400
2015-09-03,229.32400513,229.60499573,226.66700745,227.18299866,17482000
2015-09-04,227.21499634,230.89999390,227.05099487,230.29800415,20962400
2015-09-05,230.19900513,236.14300537,229.44299316,235.01899719,20671400
2015-09-06,234.86999512,242.91200256,234.68099976,239.83999634,25473700
2015-09-07,239.93400574,242.10600281,238.72200012,239.84700012,21192200
2015-09-08,239.84599304,245.78100586,239.67799377,243.60699463,26879200
2015-09-09,243.41499329,244.41600037,237.82099915,238.16799927,23635700
2015-09-10,238.33599854,241.29299927,235.79100037,238.47700500,21215500
2015-09-11,238.32899475,241.16900635,238.32899475,240.10699463,19224700
2015-09-12,239.85499573,240.12399292,234.75399780,235.22900391,17962600
2015-09-13,235.24200439,235.93499756,229.33200073,230.51199341,18478800
2015-09-14,230.60899353,232.44000244,227.96099854,230.64399719,20997800
2015-09-15,230.49200439,259.18200684,229.82200623,230.30400085,19177800
2015-09-16,230.25000000,231.21499634,227.40199280,229.09100342,20144200
2015-09-17,229.07600403,230.28500366,228.92599487,229.80999756,18935400
2015-09-18,233.52099609,234.35299683,232.18499756,232.97500610,20242200
2015-09-19,232.85800171,233.20500183,231.08900452,231.49299622,12712600
2015-09-20,231.39900208,232.36500549,230.91000366,231.21200562,14444700
2015-09-21,231.21699524,231.21699524,226.52099609,227.08500671,19678800
2015-09-22,226.96899414,232.38600159,225.11700439,230.61799622,25009300
2015-09-23,230.93600464,231.83500671,229.59100342,230.28300476,17254100
2015-09-24,230.35800171,235.64900208,230.29499817,234.52900696,25097800
2015-09-25,234.36199951,237.42700195,233.68400574,235.14399719,22363600
2015-09-26,235.07600403,235.40299988,233.35800171,234.33999634,13724100
2015-09-27,234.13900757,234.52600098,232.47599792,232.75700378,14179900
2015-09-28,232.83599854,239.33900452,232.46699524,239.14199829,24713000
2015-09-29,239.01600647,239.80200195,235.92799377,236.68699646,22691300
2015-09-30,236.63999939,237.73399353,235.62899780,236.05999756,19743500
2015-10-01,236.00399780,238.44500732,235.61599731,237.54899597,20488800
2015-10-02,237.26400757,238.54100037,236.60299683,237.29299927,19677900
2015-10-03,237.20199585,239.31500244,236.94400024,238.72999573,16482700
2015-10-04,238.53100586,238.96800232,237.94000244,238.25900269,12999000
2015-10-05,238.14700317,240.38299561,237.03500366,240.38299561,23335900
2015-10-06,240.36399841,246.93499756,240.13600159,246.06300354,27535100
2015-10-07,246.16999817,246.68099976,242.58500671,242.96899414,22999200
2015-10-08,243.07499695,244.25100708,242.17900085,242.30400085,18515300
2015-10-09,242.49800110,244.22799683,242.12199402,243.93099976,17353100
2015-10-10,243.74000549,245.31900024,243.07400513,244.94099426,15912700
2015-10-11,244.74200439,247.24299622,244.15199280,247.05000305,16827300
2015-10-12,246.87500000,247.45399475,245.17900085,245.30799866,17388300
2015-10-13,245.19999695,250.23599243,243.75700378,249.50799561,28198500
2015-10-14,249.49299622,254.27499390,248.90299988,251.98899841,27462600
2015-10-15,252.10699463,255.96200562,252.04600525,254.32000732,25223500
2015-10-16,254.29600525,266.13500977,253.92599487,262.86898804,35901500
